Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PAS | BCS | ȘOR | PN | PPDA | PSDE | PDA | AUR | PDCM | PUN | MAN | Other
IRI | N/A | 2022-10-01 | 2022-11-15 | N | 1233 | N/A | 0.1 | 36.4 | 30.3 | 15.2 | 3.0 | 1.5 | 1.5 | 1.5 | N/A | N/A | N/A | 4.5 | 6.1
CBS-Research | IPP | 2022-10-29 | 2022-11-10 | N | 1134 | N/A | 0.1 | 40.6 | 33.8 | 16.7 | N/A | 1.8 | 1.8 | N/A | N/A | 0.7 | 0.7 | 1.0 | 3.0
IDIS, ISPRI and CBS Research | N/A | 2022-09-29 | 2022-10-11 | N | 1066 | N/A | 0.1 | 38.7 | 36.9 | 12.8 | 2.3 | 2.8 | 1.4 | N/A | N/A | 1.0 | N/A | 1.0 | 3.2
iData | N/A | 2022-10-04 | 2022-10-10 | N | 1020 | N/A | 0.1 | 31.5 | 28.9 | 27.2 | 1.1 | 5.1 | N/A | N/A | N/A | 1.1 | N/A | 2.1 | 3.2
Intellect Group | N/A | 2022-04-16 | 2022-09-25 | N | 1088 | N/A | 0.1 | 33.4 | 43.9 | 16.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.4
iData | N/A | 2022-09-03 | 2022-09-12 | N | 1012 | N/A | 0.1 | 29.7 | 31.9 | 25.6 | 1.2 | 4.4 | N/A | N/A | N/A | 1.8 | N/A | 3.5 | 1.8
IMAS | N/A | 2022-07-06 | 2022-07-18 | N | 1007 | N/A | 0.1 | 30.7 | 42.5 | 15.5 | 3.4 | 1.6 | 1.4 | 2.0 | 0.5 | 1.1 | 0.4 | N/A | 0.6
iData | N/A | 2022-06-15 | 2022-06-23 | N | 1095 | N/A | 0.1 | 33.1 | 38.5 | 18.7 | 2.6 | 2.9 | N/A | 0.9 | N/A | 2.0 | N/A | N/A | 1.2
iData | N/A | 2022-05-13 | 2022-05-28 | N | 1012 | N/A | 0.1 | 35.9 | 36.9 | 17.9 | 1.1 | 4.9 | 0.4 | N/A | N/A | 2.3 | N/A | N/A | 0.6
iData | N/A | 2022-04-07 | 2022-04-18 | N | 1053 | N/A | 0.1 | 38.5 | 37.7 | 18.2 | 1.7 | 2.5 | 0.3 | 0.1 | 0.1 | 0.3 | 0.2 | N/A | 0.4
IMAS | N/A | 2022-04-04 | 2022-04-18 | N | 1100 | N/A | 0.1 | 38.7 | 36.5 | 14.7 | 4.4 | 0.9 | 0.4 | 2.3 | 0.7 | 0.8 | N/A | N/A | 0.6
Intellect Group | N/A | 2022-04-07 | 2022-04-10 | N | 1089 | N/A | 0.1 | 34.4 | 44.9 | 12.5 | 2.0 | 1.0 | 1.0 | N/A | N/A | N/A | N/A | N/A | 4.3
IRI | N/A | 2022-02-09 | 2022-03-30 | N | 1306 | N/A | 0.1 | 46.7 | 35.6 | 8.9 | N/A | 0 | 0 | N/A | N/A | N/A | N/A | N/A | 6.7
iData | N/A | 2022-03-28 | 2022-03-28 | N | 1084 | N/A | 0.1 | 40.1 | 33.8 | 18.9 | 1.3 | 1.3 | 0.7 | 1.0 | N/A | 0.7 | 0.3 | N/A | 1.9
iData | N/A | 2022-02-15 | 2022-02-24 | N | 1071 | N/A | 0.1 | 32.6 | 38.3 | 18.9 | 1.5 | 4.7 | N/A | 2.9 | N/A | N/A | N/A | N/A | N/A
IMAS | N/A | 2022-01-24 | 2022-02-14 | N | 1123 | N/A | 0.1 | 35.2 | 36.1 | 15.7 | 5.8 | 1.2 | 1.2 | 1.8 | 0.5 | N/A | N/A | N/A | N/A
CBS Research | IDIS Viitorul | 2022-01-25 | 2022-02-05 | N | 1134 | N/A | 0.1 | 36.0 | 40.0 | 12.9 | 3.2 | 2.3 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A
iData | N/A | 2022-01-12 | 2022-01-23 | N | 999 | N/A | 0.1 | 39.2 | 30.3 | 16.8 | 1.5 | 5.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
iData | N/A | 2021-12-12 | 2021-12-19 | N | 1021 | N/A | 0.1 | 43.8 | 28.5 | 16.5 | 3.8 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
CBS Research | IDIS Viitorul | 2021-12-04 | 2021-12-15 | N | 1055 | N/A | 0.1 | 37.7 | 37.8 | 12.6 | 3.7 | 3.8 | 0.6 | N/A | N/A | N/A | N/A | N/A | N/A
iData | N/A | 2021-11-15 | 2021-11-25 | N | 1047 | N/A | 0.1 | 45.5 | 31.5 | 9.8 | 4.1 | 4.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
IMAS | N/A | 2021-10-23 | 2021-11-15 | N | 710 | N/A | 0.1 | 38.6 | 36.9 | 10.8 | 6.1 | 1.7 | 1.6 | 2.2 | 0.7 | N/A | N/A | N/A | N/A
iData | N/A | 2021-10-08 | 2021-10-13 | N | 1834 | N/A | 0.1 | 51.5 | 27.5 | 6.7 | 5.7 | 4.2 | N/A | 0.7 | N/A | N/A | N/A | N/A | N/A
iData | N/A | 2021-09-12 | 2021-09-24 | N | 1086 | N/A | 0.1 | 50.1 | 29.1 | 10.2 | 3.0 | 4.1 | N/A | N/A | 1.3 | N/A | N/A | N/A | N/A
ASDM | N/A | 2021-06-21 | 2021-07-02 | N | 1181 | N/A | 0.1 | 37.4 | 37.1 | 6.8 | 5.5 | 5.4 | 1.3 | 2.2 | 1.9 | N/A | N/A | N/A | N/A
Watchdog & IPP | N/A | 2021-06-20 | 2021-06-30 | N | 1201 | N/A | 0.1 | 50.9 | 30.5 | 4.7 | 5.2 | 1.2 | 1.0 | 2.5 | 1.7 | N/A | N/A | N/A | N/A
Watchdog & IPP | N/A | 2021-06-12 | 2021-06-29 | N | 1104 | N/A | 0.1 | 49.8 | 28.0 | 4.7 | 6.3 | 1.8 | 1.0 | 2.4 | 1.7 | N/A | N/A | N/A | N/A
BOP | N/A | 2021-06-12 | 2021-06-27 | N | 1161 | N/A | 0.1 | 43.5 | 32.5 | 7.8 | 5.9 | 3.5 | 1.7 | 1.7 | 1.7 | N/A | N/A | N/A | N/A
ASDM | N/A | 2021-06-10 | 2021-06-20 | N | 1167 | N/A | 0.1 | 38.5 | 36.7 | 6.9 | 5.2 | 4.4 | 1.4 | 1.2 | 1.1 | N/A | N/A | N/A | N/A
Watchdog & CBS-Axa | N/A | 2021-06-02 | 2021-06-08 | N | 1154 | N/A | 0.1 | 50.3 | 32.4 | 5.1 | 5.0 | 2.0 | 2.9 | 1.5 | 0.9 | N/A | N/A | N/A | N/A
ASDM | N/A | 2021-05-24 | 2021-06-05 | N | 1179 | N/A | 0.1 | 36.5 | 36.1 | 7.3 | 4.8 | 4.4 | 2.2 | 1.2 | 1.2 | N/A | N/A | N/A | N/A
RDI | N/A | 2021-05-21 | 2021-05-28 | N | 1206 | N/A | 0.1 | 38.6 | 36.3 | 8.9 | 4.3 | 3.9 | 2.4 | 2.4 | 3.2 | N/A | N/A | N/A | N/A
iData | N/A | 2021-05-19 | 2021-05-28 | N | 1227 | N/A | 0.1 | 39.1 | 33.4 | 10.1 | 4.9 | 3.5 | N/A | 0.6 | 4.8 | N/A | N/A | N/A | N/A
ASDM | N/A | 2021-05-14 | 2021-05-22 | N | 1185 | N/A | 0.1 | 37.0 | 35.8 | 6.6 | 4.4 | 3.3 | 2.5 | 1.2 | 0.8 | N/A | N/A | N/A | N/A
